Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
57,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,23-324,1997,13,322,25,12.8,3.6,0.56,68,0.28,3.06,17,3.33,1.92,3.61,2.50,1.11,+1.12,+0.34,2.53,1.78,0.72,+0.74,+0.41,Matches
58,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,25-354,1995,22,1910,87,78.6,21.2,1.04,87,0.90,0.00,,0.19,1.36,1.13,1.08,0.05,+0.05,-0.99,1.21,1.28,-0.08,-0.08,-1.34,Matches
59,Saïd Benrahma\Said-Benrahma,dz ALG,MFFW,West Ham,25-210,1995,18,885,49,37.8,9.8,0.92,78,0.20,0.92,20,0.20,1.83,1.53,1.12,0.41,+0.41,+0.10,1.27,1.29,-0.02,-0.02,-0.43,Matches
60,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,21-093,1999,6,264,44,10.5,2.9,0.69,82,0.34,1.38,25,5.52,1.17,0.34,2.41,-2.07,-2.05,-1.65,0.66,2.17,-1.55,-1.52,-1.07,Matches
61,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-095,1990,21,1069,51,42.4,11.9,1.01,80,0.50,0.76,13,0.34,1.05,1.09,1.60,-0.50,-0.51,+0.18,0.87,1.52,-0.65,-0.65,+0.12,Matches
62,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-132,1990,14,818,58,32.5,9.1,1.10,71,0.33,0.44,27,0.22,1.14,0.99,1.10,-0.11,-0.11,+0.68,1.11,1.29,-0.18,-0.18,+0.57,Matches
63,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,23-022,1998,13,1016,78,40.3,11.3,1.06,83,0.97,0.09,15,0.00,0.08,0.53,1.68,-1.15,-1.15,-0.19,1.03,1.58,-0.56,-0.56,+0.12,Matches
64,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,23-151,1997,16,1021,64,42.0,11.3,0.97,81,0.18,0.44,26,0.27,1.44,1.42,0.97,0.44,+0.44,-0.39,0.89,1.50,-0.60,-0.60,-1.38,Matches
65,Adrian Bernabe\Adrian-Bernabe,es ESP,MF,Manchester City,19-286,2001,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
66,Bernard\Bernard,br BRA,FWMF,Everton,28-181,1992,8,380,48,16.2,4.2,0.71,79,0.24,1.19,29,4.05,0.75,0.95,0.95,0.00,0.00,-0.28,0.83,1.19,-0.36,-0.35,-0.29,Matches
67,Bernardo\Bernardo,br BRA,DFMF,Brighton,25-298,1995,3,206,69,8.5,2.3,0.87,90,0.87,0.43,26,3.91,0.00,0.00,1.30,-1.30,-1.31,-1.11,0.48,2.04,-1.57,-1.58,-2.18,Matches
68,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,31-215,1989,25,2238,90,92.1,24.9,1.00,90,0.96,0.00,,0.00,1.20,1.20,1.57,-0.36,-0.36,+0.58,0.99,1.26,-0.27,-0.27,+0.40,Matches
69,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,24-190,1996,25,2122,85,87.3,23.6,1.02,87,0.85,0.04,29,0.00,1.04,0.97,1.31,-0.34,-0.34,-0.34,1.41,0.97,0.43,+0.43,+0.12,Matches
70,Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,20-224,2000,11,806,73,32.0,9.0,0.89,90,0.89,0.33,29,0.22,0.91,0.78,1.78,-1.00,-1.00,+0.05,0.78,1.38,-0.61,-0.61,+0.03,Matches
71,Mateusz Bogusz\Mateusz-Bogusz,pl POL,MF,Leeds United,19-198,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
72,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,30-033,1991,16,1440,90,57.1,16.0,1.00,90,1.00,0.00,,0.25,1.50,1.06,1.31,-0.25,-0.25,+0.17,0.99,1.17,-0.18,-0.18,-0.13,Matches
73,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,24-078,1996,26,1837,71,78.5,20.4,1.13,79,0.15,0.15,9,0.00,1.73,1.47,1.13,0.34,+0.34,-0.01,1.36,1.03,0.33,+0.33,+0.44,Matches
74,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,29-053,1992,18,1027,57,40.8,11.4,1.05,75,0.35,0.53,21,0.18,1.50,0.70,0.53,0.18,+0.18,+1.26,0.73,1.35,-0.62,-0.62,-0.10,Matches
75,Jarrad Branthwaite\Jarrad-Branthwaite,eng ENG,DF,Everton,18-254,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
76,Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,20-341,2000,20,864,43,34.3,9.6,0.94,68,0.21,1.15,23,0.42,0.55,0.63,1.25,-0.63,-0.62,+0.62,1.05,1.42,-0.36,-0.37,+0.40,Matches
77,Nathan Broadhead\Nathan-Broadhead,wal WAL,FWMF,Everton,22-337,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
78,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,25-079,1995,23,1961,85,77.8,21.8,1.01,88,0.96,0.05,26,0.05,1.13,0.55,1.10,-0.55,-0.55,+0.09,0.92,1.48,-0.56,-0.56,+0.02,Matches
79,Zak Brunt\Zak-Brunt,eng ENG,MF,Sheffield Utd,19-111,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
80,Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,27-172,1993,12,468,39,18.6,5.2,0.96,85,0.77,1.35,6,2.31,0.75,0.77,2.50,-1.73,-1.73,-1.64,0.83,1.75,-0.92,-0.93,-0.92,Matches
81,Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,24-127,1996,9,655,73,26.0,7.3,1.10,79,0.68,0.14,24,0.82,0.67,0.55,1.37,-0.82,-0.82,+0.29,0.74,1.74,-1.00,-1.00,-0.50,Matches
82,Hugo Bueno\Hugo-Bueno,es ESP,DF,Wolves,18-171,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
83,Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,23-335,1997,18,967,54,38.4,10.7,1.03,69,0.09,0.65,30,0.75,0.72,0.56,1.40,-0.84,-0.84,+0.32,0.87,1.32,-0.45,-0.45,+0.29,Matches
84,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,28-303,1992,19,1472,77,60.6,16.4,0.98,88,0.85,0.18,21,0.49,1.16,0.73,1.22,-0.49,-0.49,-0.49,1.23,1.05,0.18,+0.19,-0.59,Matches
85,Jack Butland\Jack-Butland,eng ENG,GK,Crystal Palace,27-363,1993,0,,,,,0,,0,0,,21,,,,,,,,,,,,Matches
86,David Button\David-Button,eng ENG,GK,West Brom,32-009,1989,1,90,90,3.6,1.0,1.00,90,1.00,0.00,,27.0,3.00,3.00,2.00,1.00,+1.00,+2.37,2.30,2.20,0.00,+0.02,+1.01,Matches
87,Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,22-342,1998,1,22,22,0.9,0.2,0.00,,0.00,5.00,22,10.0,3.00,0.00,0.00,0.00,0.00,+0.32,4.50,2.50,2.00,+1.64,+1.78,Matches
88,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,39-161,1981,1,90,90,3.7,1.0,1.00,90,1.00,0.00,,6.00,1.00,3.00,3.00,0.00,0.00,-0.65,2.20,1.00,1.30,+1.27,+0.62,Matches
89,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,35-079,1985,13,1170,90,46.4,13.0,1.00,90,1.00,0.00,,0.38,1.00,1.08,2.08,-1.00,-1.00,-0.73,0.63,1.72,-1.08,-1.09,-0.69,Matches
90,Jake Cain\Jake-Cain,eng ENG,MF,Liverpool,19-187,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
91,Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,30-047,1991,10,759,76,30.1,8.4,1.07,83,0.83,0.12,8,0.60,0.50,0.71,1.79,-1.07,-1.07,-0.96,1.10,1.56,-0.46,-0.46,-0.40,Matches
92,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,23-357,1997,23,1971,86,84.2,21.9,1.00,88,0.73,0.05,29,0.00,1.87,1.60,1.19,0.41,+0.41,+1.14,1.32,1.24,0.08,+0.08,+1.21,Matches
93,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,26-285,1994,22,1857,84,73.7,20.6,1.02,87,0.92,0.05,20,0.15,2.36,1.89,0.53,1.36,+1.36,+0.14,2.05,0.67,1.38,+1.38,+0.96,Matches
94,Elia Caprile\Elia-Caprile,it ITA,GK,Leeds United,19-195,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
95,Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,21-027,2000,10,253,25,10.8,2.8,0.00,,0.00,3.57,25,3.57,1.10,1.07,1.43,-0.36,-0.36,-0.36,1.50,2.32,-0.82,-0.81,-0.78,Matches
96,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,32-061,1989,15,382,25,15.7,4.2,0.95,68,0.00,2.62,10,2.62,0.60,1.19,1.90,-0.71,-0.71,-0.09,0.93,1.81,-0.88,-0.87,-0.47,Matches
97,Scott Carson\Scott-Carson,eng ENG,GK,Manchester City,35-186,1985,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
98,Oliver Casey\Oliver-Casey,eng ENG,DF,Leeds United,20-145,2000,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
99,Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,23-213,1997,21,1822,87,77.9,20.2,1.04,87,0.84,0.00,,0.00,1.67,1.68,1.19,0.50,+0.49,+0.32,1.52,1.36,0.16,+0.16,-0.22,Matches
100,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,34-157,1986,1,90,90,3.8,1.0,1.00,90,1.00,0.00,,22.0,0.00,0.00,1.00,-1.00,-1.00,-1.00,0.30,1.30,-1.00,-1.02,-0.94,Matches
