Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
78,Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,30-047,1991,10,9,759,8.4,0.12,0.12,0.12,0.00,0.00,0.24,0.00,0.12,0.12,0.24,0.12,0.24,0.08,0.08,0.17,0.25,0.08,0.17,0.25,0.08,0.25,Matches
79,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,23-357,1997,23,22,1971,21.9,0.59,0.00,0.59,0.00,0.00,0.14,0.00,0.59,0.00,0.59,0.59,0.59,0.50,0.50,0.05,0.55,0.50,0.05,0.55,0.50,0.55,Matches
80,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,26-285,1994,22,21,1857,20.6,0.05,0.10,0.05,0.00,0.00,0.19,0.00,0.05,0.10,0.15,0.05,0.15,0.08,0.08,0.18,0.26,0.08,0.18,0.26,0.08,0.26,Matches
81,Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,21-027,2000,10,0,253,2.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.14,0.25,0.13,0.13,0.26,0.13,0.26,Matches
82,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,32-061,1989,15,4,382,4.2,0.24,0.00,0.24,0.00,0.00,0.24,0.00,0.24,0.00,0.24,0.24,0.24,0.29,0.29,0.02,0.29,0.28,0.02,0.29,0.28,0.29,Matches
83,Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,23-213,1997,21,21,1822,20.2,0.00,0.10,0.00,0.00,0.00,0.25,0.00,0.00,0.10,0.10,0.00,0.10,0.01,0.01,0.08,0.10,0.01,0.08,0.10,0.01,0.10,Matches
84,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,34-157,1986,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
85,Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,25-093,1995,17,17,1445,16.1,0.06,0.12,0.06,0.00,0.00,0.06,0.00,0.06,0.12,0.19,0.06,0.19,0.04,0.04,0.07,0.11,0.04,0.07,0.11,0.04,0.11,Matches
86,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,27-005,1994,6,6,405,4.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.02,0.03,0.01,0.03,Matches
87,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,27-141,1993,26,19,1732,19.2,0.16,0.00,0.10,0.05,0.10,0.10,0.00,0.16,0.00,0.16,0.10,0.10,0.24,0.20,0.11,0.32,0.24,0.12,0.36,0.20,0.32,Matches
