Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
69,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,25-079,1995,21.8,31.5,39.5,79.7,499.3,107.0,16.5,18.7,88.0,10.9,13.5,81.0,2.71,4.82,56.2,0.00,0.03,-0.03,0.50,2.16,0.46,0.05,1.83,Matches
70,Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,27-172,1993,5.2,37.9,55.8,67.9,690.6,328.8,18.7,22.3,83.6,14.0,17.7,79.3,5.00,13.1,38.2,0.00,0.04,-0.04,0.58,2.50,0.58,0.38,3.65,Matches
71,Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,24-127,1996,7.3,27.3,38.2,71.3,554.2,282.5,10.7,11.5,92.9,11.2,14.1,79.6,4.52,10.8,41.8,0.00,0.05,-0.05,0.41,2.60,0.41,0.14,2.05,Matches
72,Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,23-335,1997,10.7,12.8,17.9,71.4,168.0,18.0,7.85,10.1,77.8,3.46,4.49,77.1,0.37,0.65,57.1,0.09,0.16,-0.07,1.12,0.37,0.47,0.09,0.56,Matches
73,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,28-303,1992,16.4,42.6,56.3,75.6,753.2,242.4,17.7,22.2,79.9,21.3,25.4,83.9,3.11,6.95,44.7,0.00,0.02,-0.02,0.30,3.05,0.79,0.24,3.96,Matches
74,David Button\David-Button,eng ENG,GK,West Brom,32-009,1989,1.0,16.0,37.0,43.2,687.0,484.0,2.00,2.00,100.0,2.00,2.00,100.0,12.0,33.0,36.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
75,Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,22-342,1998,0.2,70.0,75.0,93.3,1005.0,235.0,45.0,45.0,100.0,25.0,25.0,100.0,0.00,5.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
76,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,39-161,1981,1.0,24.0,26.0,92.3,496.0,302.0,8.00,8.00,100.0,13.0,13.0,100.0,3.00,5.00,60.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
77,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,35-079,1985,13.0,32.2,37.9,84.8,706.2,246.7,9.08,10.8,83.7,17.8,19.2,93.2,5.08,7.62,66.7,0.00,0.03,-0.03,0.23,2.08,0.08,0.00,1.69,Matches
78,Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,30-047,1991,8.4,65.6,73.9,88.7,1329.2,239.2,25.5,27.0,94.3,27.0,29.4,91.9,11.9,15.2,78.1,0.12,0.17,-0.05,2.38,7.26,1.19,0.60,3.81,Matches
79,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,23-357,1997,21.9,15.8,22.0,72.0,241.6,37.9,9.09,11.7,77.7,4.57,6.62,69.0,1.51,1.87,80.5,0.00,0.05,-0.05,0.59,0.96,0.32,0.00,1.19,Matches
80,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,26-285,1994,20.6,71.5,83.0,86.1,1264.5,356.6,34.7,37.7,92.1,28.2,31.9,88.1,7.72,10.8,71.3,0.10,0.18,-0.09,1.80,5.97,2.72,0.39,6.89,Matches
81,Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,21-027,2000,2.8,21.8,31.4,69.3,341.4,137.1,11.4,14.6,78.0,7.50,10.0,75.0,2.14,4.29,50.0,0.00,0.14,-0.14,0.71,2.14,2.50,0.36,5.71,Matches
82,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,32-061,1989,4.2,19.8,31.2,63.4,304.3,90.0,11.9,16.7,71.4,5.71,10.0,57.1,1.43,2.86,50.0,0.00,0.02,-0.02,0.48,2.14,0.71,0.00,2.38,Matches
83,Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,23-213,1997,20.2,36.3,48.7,74.6,695.7,245.4,15.5,17.4,88.9,15.1,19.2,78.8,5.20,10.7,48.4,0.10,0.08,0.01,0.89,2.77,0.84,0.64,2.08,Matches
