Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
49,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32-231,1988,22.6,51.2,6.33,20.0,23.1,11.7,1.68,48.6,0.71,0.97,72.7,0.80,0.04,28.4,163.7,106.1,3.58,0.93,0.04,0.62,1.02,29.5,26.5,89.9,1.42,Matches
50,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-157,1993,7.8,30.9,0.90,3.08,16.9,12.8,3.21,29.2,1.54,2.18,70.6,1.54,0.13,18.8,88.7,59.1,2.18,1.15,0.38,1.79,3.59,40.4,22.2,54.9,7.05,Matches
51,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24-330,1996,25.9,72.1,8.57,39.7,34.9,1.62,0.46,69.2,0.08,0.15,50.0,0.08,0.00,41.0,219.0,115.7,2.12,0.19,0.00,0.12,0.04,45.1,44.4,98.4,0.15,Matches
52,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,23-324,1997,3.6,58.9,1.39,8.89,27.2,25.3,6.39,58.6,0.56,1.11,50.0,0.56,0.00,34.7,132.2,65.8,3.89,1.67,0.00,1.67,1.39,59.4,45.3,76.2,10.0,Matches
53,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,25-354,1995,21.2,64.0,2.50,18.2,28.9,20.4,2.12,56.9,0.75,1.46,51.6,0.85,0.14,39.2,192.5,120.5,4.91,1.32,0.57,0.71,0.38,44.4,40.3,90.8,3.21,Matches
54,Saïd Benrahma\Said-Benrahma,dz ALG,MFFW,West Ham,25-210,1995,9.8,47.4,0.71,7.45,22.8,22.2,3.67,46.6,3.16,5.31,59.6,3.47,0.51,39.5,232.4,133.0,7.76,2.35,0.82,2.76,2.96,47.0,33.3,70.7,5.61,Matches
55,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,21-093,1999,2.9,39.0,1.72,6.55,18.3,15.5,1.03,37.6,1.72,2.76,62.5,1.72,0.34,25.5,84.1,40.0,1.72,1.03,0.00,1.03,2.07,28.6,22.8,79.5,1.38,Matches
56,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-095,1990,11.9,41.3,2.27,4.29,19.9,18.6,6.22,40.7,0.84,1.60,52.6,0.84,0.00,17.8,72.7,35.0,2.44,0.50,0.59,2.52,1.51,59.4,32.3,54.3,7.14,Matches
57,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-132,1990,9.1,38.7,0.99,6.04,20.1,15.1,1.87,38.4,0.22,1.10,20.0,0.44,0.11,27.0,151.2,80.5,4.40,1.65,0.22,0.55,0.99,34.7,26.2,75.3,3.52,Matches
58,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,23-022,1998,11.3,48.7,2.74,10.8,24.9,18.2,2.83,47.6,1.59,2.48,64.3,1.59,0.27,32.8,259.5,141.9,5.40,1.95,0.71,2.04,1.33,37.5,33.3,88.7,2.65,Matches
