Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
58,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,23-022,1998,11.3,1.86,1.42,0.80,0.71,0.35,0.44,1.50,29.4,1.06,17.1,4.96,29.0,5.93,8.50,2.65,1.77,0.18,0.00,1.59,0.27,2.12,1.68,0.09,Matches
59,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,23-151,1997,11.3,1.15,0.71,0.62,0.27,0.27,0.53,2.04,26.1,1.50,17.3,4.16,24.0,4.60,6.99,5.75,0.80,0.09,0.00,0.71,0.80,1.95,0.35,0.00,Matches
60,Bernard\Bernard,br BRA,FWMF,Everton,28-181,1992,4.2,1.19,0.95,0.24,0.48,0.48,0.71,2.62,27.3,1.90,13.3,3.33,25.0,4.76,5.48,3.10,1.90,0.00,0.00,1.90,1.43,2.62,0.48,0.00,Matches
61,Bernardo\Bernardo,br BRA,DFMF,Brighton,25-298,1995,2.3,3.48,2.17,2.61,0.43,0.43,1.74,2.61,66.7,0.87,14.8,5.65,38.2,6.52,3.91,4.35,2.61,0.00,0.00,2.61,0.00,3.48,1.30,0.00,Matches
62,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,31-215,1989,24.9,2.41,1.53,0.96,1.24,0.20,0.92,1.53,60.5,0.60,10.2,4.26,41.6,3.65,4.98,1.61,1.57,0.20,0.00,1.37,1.00,3.41,1.69,0.04,Matches
63,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,24-190,1996,23.6,3.18,2.03,1.74,1.23,0.21,0.76,2.08,36.7,1.31,15.6,5.59,36.0,7.03,7.20,1.31,1.82,0.25,0.00,1.57,1.31,4.49,1.48,0.00,Matches
64,Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,20-224,2000,9.0,2.67,1.11,1.22,1.33,0.11,1.33,2.56,52.2,1.22,18.2,4.89,26.8,8.67,5.67,3.89,2.33,0.22,0.00,2.11,1.56,4.22,1.44,0.00,Matches
65,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,30-033,1991,16.0,2.06,1.25,1.75,0.31,0.00,0.75,1.50,50.0,0.75,7.19,2.44,33.9,5.00,2.00,0.19,1.38,0.63,0.00,0.75,0.81,2.88,4.94,0.00,Matches
66,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,24-078,1996,20.4,0.69,0.49,0.44,0.25,0.00,0.20,0.93,21.1,0.74,10.0,2.84,28.4,2.94,4.02,3.04,1.23,0.05,0.00,1.18,0.74,1.42,0.10,0.00,Matches
67,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,29-053,1992,11.4,1.75,0.96,0.96,0.26,0.53,0.79,2.63,30.0,1.84,15.4,3.51,22.9,5.18,6.49,3.68,2.11,0.09,0.00,2.02,0.79,2.54,1.93,0.09,Matches
68,Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,20-341,2000,9.6,0.83,0.31,0.10,0.42,0.31,0.00,0.94,0.0,0.94,16.7,4.58,27.5,0.73,7.40,8.54,1.35,0.21,0.00,1.15,0.42,1.25,0.31,0.00,Matches
69,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,25-079,1995,21.8,1.70,0.92,0.46,0.96,0.28,0.32,1.47,21.9,1.15,14.9,3.90,26.2,3.53,8.12,3.21,1.93,0.46,0.05,1.47,1.70,3.39,1.61,0.00,Matches
70,Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,27-172,1993,5.2,2.50,1.54,1.15,0.96,0.38,0.96,2.12,45.5,1.15,12.1,4.04,33.3,5.19,4.42,2.50,2.69,0.19,0.00,2.50,1.73,4.23,3.65,0.00,Matches
