Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
104,Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Wolves,23-064,1998,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
105,Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,29-323,1991,25.9,1.66,1.66,1.43,0.00,0.08,0.12,0.00,0.04,0.15,0.15,0.15,0.00,0.00,0.00,0.00,0.00,0.00,Matches
106,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,34-022,1987,12.0,0.33,0.33,0.25,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
107,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,30-151,1990,25.0,0.12,0.12,0.04,0.08,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,Matches
108,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,27-318,1993,14.6,1.16,1.17,0.82,0.00,0.07,0.00,0.14,0.14,0.27,0.27,0.14,0.00,0.07,0.00,0.07,0.00,0.00,Matches
109,Tom Davies\Tom-Davies,eng ENG,MFDF,Everton,22-251,1998,9.7,1.24,1.24,1.24,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,Matches
110,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,23-023,1998,0.8,7.50,7.11,5.00,0.00,1.25,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
111,Leif Davis\Leif-Davis,eng ENG,DF,Leeds United,21-055,2000,0.4,2.50,2.73,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
112,Craig Dawson\Craig-Dawson,eng ENG,DF,West Ham,30-306,1990,11.0,0.45,0.45,0.18,0.09,0.00,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
113,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,29-253,1991,19.4,6.24,6.23,4.18,1.03,0.26,0.21,0.21,0.36,0.88,0.87,0.72,0.00,0.05,0.00,0.05,0.05,0.00,Matches
114,Liam Delap\Liam-Delap,eng ENG,FW,Manchester City,18-028,2003,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
