Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
72,Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,23-335,1997,10.7,17.9,16.9,1.03,0.00,0.09,5.61,0.19,1.31,0.00,0.00,0.00,0.00,12.1,3.08,2.80,0.56,13.8,1.68,0.00,0.09,12.8,0.00,0.65,0.37,0.93,Matches
73,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,28-303,1992,16.4,56.3,49.6,6.71,0.43,0.00,7.20,0.85,1.65,0.06,0.06,0.00,0.00,33.4,9.63,13.3,37.1,5.73,3.96,6.22,0.24,42.6,0.12,1.89,1.22,1.65,Matches
74,David Button\David-Button,eng ENG,GK,West Brom,32-009,1989,1.0,37.0,22.0,15.0,3.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,30.0,3.00,27.0,0.00,0.00,2.00,16.0,0.00,3.00,0.00,0.00,Matches
75,Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,22-342,1998,0.2,75.0,70.0,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.0,5.00,5.00,0.00,70.0,0.00,5.00,0.00,70.0,0.00,0.00,0.00,0.00,Matches
76,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,39-161,1981,1.0,26.0,19.0,7.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,21.0,2.00,3.00,3.00,21.0,0.00,0.00,2.00,24.0,0.00,0.00,0.00,0.00,Matches
77,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,35-079,1985,13.0,37.9,36.8,1.08,1.08,0.00,4.69,0.69,0.00,0.00,0.00,0.00,0.00,26.2,3.85,7.85,4.92,28.2,2.08,0.00,0.38,32.2,0.15,0.54,0.46,0.31,Matches
78,Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,30-047,1991,8.4,73.9,69.8,4.17,2.26,0.00,9.05,4.05,2.14,1.67,0.24,1.07,0.12,56.3,6.07,11.5,68.7,3.81,1.07,0.00,0.24,65.6,0.12,0.71,0.83,1.31,Matches
79,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,23-357,1997,21.9,22.0,21.3,0.68,0.00,0.00,6.67,0.32,0.55,0.09,0.00,0.00,0.00,11.7,6.58,3.70,1.74,13.6,1.74,0.05,1.69,15.8,0.27,0.50,0.59,1.00,Matches
80,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,26-285,1994,20.6,83.0,73.7,9.27,1.46,0.39,8.01,1.65,2.48,0.05,0.00,0.00,0.00,57.4,13.4,12.2,8.64,63.4,1.99,7.77,0.29,71.5,0.19,0.97,1.41,1.75,Matches
81,Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,21-027,2000,2.8,31.4,31.1,0.36,0.00,0.36,6.07,1.07,2.86,0.00,0.00,0.00,0.00,22.5,4.64,4.29,23.2,6.43,1.43,0.36,0.00,21.8,0.00,1.07,1.07,2.14,Matches
